Sección 2.3.1 -> Semilla 2

learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1900000.0,10.047424,7.245201024268237E-6,1900000.0,77.6741052631579,55.21786877519755,55.28801407368448,53.443000074633105,1900000.0,5020192.0,2549.0,1275.0,1275.0,17.0,3806.2346368715084,0.0,1.0336349065631807
2000000.0,10.721862,8.163447283667823E-6,2000000.0,77.45455,54.775772347188635,54.852665832290356,52.981040548741696,2000000.0,5262832.0,2661.0,1331.0,1331.0,17.0,3826.031555221638,0.0,1.0334581717869284
Sección 2.3.1 -> Semilla 1

learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,0.747004,6.442352236145072E-8,100000.0,89.717,79.4350879496552,79.32566649242028,78.58778943861402,100000.0,333368.0,169.0,85.0,85.0,12.0,0.0,0.0,1.0
200000.0,1.276846,1.575218089007669E-7,200000.0,86.25500000000001,72.51064541980726,72.45408178602564,71.4089590115342,200000.0,679200.0,345.0,173.0,173.0,12.0,0.0,0.0,1.0
300000.0,1.721311,2.7022211161338624E-7,300000.0,85.68666666666667,71.41289096145691,71.3590128397532,70.2274886117024,300000.0,980144.0,499.0,250.0,250.0,14.0,0.0,0.0,1.0
400000.0,2.20174,4.22298094973796E-7,400000.0,84.75399999999999,69.53684750873573,69.47732471133489,68.27649347676812,400000.0,1223584.0,619.0,310.0,310.0,14.0,0.0,0.0,1.0
500000.0,2.691604,6.119513593076005E-7,500000.0,82.9476,65.88678301946264,65.87841217879196,64.4945822818546,500000.0,1496536.0,761.0,381.0,381.0,15.0,0.0,0.0,1.0
600000.0,3.183703,8.372123306699926E-7,600000.0,82.69216666666667,65.36833115198962,65.3414722873954,63.97666133614545,600000.0,1769440.0,895.0,448.0,448.0,15.0,0.0,0.0,1.0
700000.0,3.650363,1.0822064104469286E-6,700000.0,81.56714285714285,63.10175999373362,63.104031019721894,61.65470512191861,700000.0,2029352.0,1027.0,514.0,514.0,15.0,0.0,0.0,1.0
800000.0,4.109426,1.3507986104095147E-6,800000.0,80.49775,60.944111254584755,60.962708675287246,59.41808080072415,800000.0,2261640.0,1147.0,574.0,574.0,15.0,0.0,0.0,1.0
900000.0,4.584093,1.6667004693278835E-6,900000.0,80.20811111111111,60.3625421996555,60.376686960989964,58.81799434035548,900000.0,2572560.0,1301.0,651.0,651.0,16.0,0.0,0.0,1.0
1000000.0,5.156559,2.083880079610066E-6,1000000.0,79.6246,59.17530902069852,59.20391634714534,57.571580284447045,1000000.0,2816928.0,1431.0,716.0,716.0,17.0,3806.2346368715084,0.0,1.0336349065631807
